ATT_Roll,ATT_Pitch,ATT_Yaw,ATT_RollRate,ATT_PitchRate,ATT_YawRate,ATT_GX,ATT_GY,ATT_GZ,ATSP_RollSP,ATSP_PitchSP,ATSP_YawSP,ATSP_ThrustSP,MATS_RollSP,MATS_PitchSP,MATS_YawSP,MATS_ThrustSP,FATS_RollSP,FATS_PitchSP,FATS_YawSP,FATS_ThrustSP,IMU_AccX,IMU_AccY,IMU_AccZ,IMU_GyroX,IMU_GyroY,IMU_GyroZ,IMU_MagX,IMU_MagY,IMU_MagZ,IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyroX,IMU1_GyroY,IMU1_GyroZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyroX,IMU2_GyroY,IMU2_GyroZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,SENS_BaroPres,SENS_BaroAlt,SENS_BaroTemp,SENS_DiffPres,SENS_DiffPresFilt,LPOS_X,LPOS_Y,LPOS_Z,LPOS_Dist,LPOS_DistR,LPOS_VX,LPOS_VY,LPOS_VZ,LPOS_RLat,LPOS_RLon,LPOS_RAlt,LPOS_PFlg,LPOS_LFlg,LPOS_GFlg,LPOS_EPH,LPOS_EPV,LPSP_X,LPSP_Y,LPSP_Z,LPSP_Yaw,GPS_GPSTime,GPS_Fix,GPS_EPH,GPS_EPV,GPS_Lat,GPS_Lon,GPS_Alt,GPS_VelN,GPS_VelE,GPS_VelD,GPS_Cog,GPS_nSat,GPS_SNR,GPS_N,GPS_J,ATTC_Roll,ATTC_Pitch,ATTC_Yaw,ATTC_Thrust,MATC_Roll,MATC_Pitch,MATC_Yaw,MATC_Thrust,FATC_Roll,FATC_Pitch,FATC_Yaw,FATC_Thrust,STAT_MainState,STAT_ArmState,STAT_FailsafeState,STAT_BatRem,STAT_BatWarn,STAT_Landed,RC_Ch0,RC_Ch1,RC_Ch2,RC_Ch3,RC_Ch4,RC_Ch5,RC_Ch6,RC_Ch7,RC_Count,RC_SignalLost,OUT0_Out0,OUT0_Out1,OUT0_Out2,OUT0_Out3,OUT0_Out4,OUT0_Out5,OUT0_Out6,OUT0_Out7,OUT1_Out0,OUT1_Out1,OUT1_Out2,OUT1_Out3,OUT1_Out4,OUT1_Out5,OUT1_Out6,OUT1_Out7,AIRS_IndSpeed,AIRS_TrueSpeed,AIRS_AirTemp,ARSP_RollRateSP,ARSP_PitchRateSP,ARSP_YawRateSP,MARS_RollRateSP,MARS_PitchRateSP,MARS_YawRateSP,FARS_RollRateSP,FARS_PitchRateSP,FARS_YawRateSP,FLOW_RawX,FLOW_RawY,FLOW_CompX,FLOW_CompY,FLOW_Dist,FLOW_Q,FLOW_SensID,GPOS_Lat,GPOS_Lon,GPOS_Alt,GPOS_VelN,GPOS_VelE,GPOS_VelD,GPOS_EPH,GPOS_EPV,GPOS_TALT,GPSP_NavState,GPSP_Lat,GPSP_Lon,GPSP_Alt,GPSP_Yaw,GPSP_Type,GPSP_LoitR,GPSP_LoitDir,GPSP_PitMin,ESC_count,ESC_nESC,ESC_Conn,ESC_N,ESC_Ver,ESC_Adr,ESC_Volt,ESC_Amp,ESC_RPM,ESC_Temp,ESC_SetP,ESC_SetPRAW,GVSP_VX,GVSP_VY,GVSP_VZ,BATT_V,BATT_VFilt,BATT_C,BATT_Discharged,DIST_Bottom,DIST_BottomRate,DIST_Flags,TEL0_RSSI,TEL0_RemRSSI,TEL0_Noise,TEL0_RemNoise,TEL0_RXErr,TEL0_Fixed,TEL0_TXBuf,TEL0_HbTime,TEL1_RSSI,TEL1_RemRSSI,TEL1_Noise,TEL1_RemNoise,TEL1_RXErr,TEL1_Fixed,TEL1_TXBuf,TEL1_HbTime,TEL2_RSSI,TEL2_RemRSSI,TEL2_Noise,TEL2_RemNoise,TEL2_RXErr,TEL2_Fixed,TEL2_TXBuf,TEL2_HbTime,TEL3_RSSI,TEL3_RemRSSI,TEL3_Noise,TEL3_RemNoise,TEL3_RXErr,TEL3_Fixed,TEL3_TXBuf,TEL3_HbTime,EST0_s0,EST0_s1,EST0_s2,EST0_s3,EST0_s4,EST0_s5,EST0_s6,EST0_s7,EST0_s8,EST0_s9,EST0_s10,EST0_s11,EST0_nStat,EST0_fNaN,EST0_fHealth,EST0_fTOut,EST1_s12,EST1_s13,EST1_s14,EST1_s15,EST1_s16,EST1_s17,EST1_s18,EST1_s19,EST1_s20,EST1_s21,EST1_s22,EST1_s23,EST1_s24,EST1_s25,EST1_s26,EST1_s27,PWR_Periph5V,PWR_Servo5V,PWR_RSSI,PWR_UsbOk,PWR_BrickOk,PWR_ServoOk,PWR_PeriphOC,PWR_HipwrOC,VICN_X,VICN_Y,VICN_Z,VICN_Roll,VICN_Pitch,VICN_Yaw,VISN_X,VISN_Y,VISN_Z,VISN_VX,VISN_VY,VISN_VZ,VISN_QuatX,VISN_QuatY,VISN_QuatZ,VISN_QuatW,GS0A_s0,GS0A_s1,GS0A_s2,GS0A_s3,GS0A_s4,GS0A_s5,GS0A_s6,GS0A_s7,GS0A_s8,GS0A_s9,GS0A_s10,GS0A_s11,GS0A_s12,GS0A_s13,GS0A_s14,GS0A_s15,GS0B_s0,GS0B_s1,GS0B_s2,GS0B_s3,GS0B_s4,GS0B_s5,GS0B_s6,GS0B_s7,GS0B_s8,GS0B_s9,GS0B_s10,GS0B_s11,GS0B_s12,GS0B_s13,GS0B_s14,GS0B_s15,GS1A_s0,GS1A_s1,GS1A_s2,GS1A_s3,GS1A_s4,GS1A_s5,GS1A_s6,GS1A_s7,GS1A_s8,GS1A_s9,GS1A_s10,GS1A_s11,GS1A_s12,GS1A_s13,GS1A_s14,GS1A_s15,GS1B_s0,GS1B_s1,GS1B_s2,GS1B_s3,GS1B_s4,GS1B_s5,GS1B_s6,GS1B_s7,GS1B_s8,GS1B_s9,GS1B_s10,GS1B_s11,GS1B_s12,GS1B_s13,GS1B_s14,GS1B_s15,TECS_ASP,TECS_AF,TECS_FSP,TECS_F,TECS_AsSP,TECS_AsF,TECS_AsDSP,TECS_AsD,TECS_EE,TECS_ERE,TECS_EDE,TECS_EDRE,TECS_PtchI,TECS_ThrI,TECS_M,WIND_X,WIND_Y,WIND_CovX,WIND_CovY,ENCD_cnt0,ENCD_vel0,ENCD_cnt1,ENCD_vel1,EKFG_lat,EKFG_lon,EKFG_posTestRatio,EKFG_posFailTime,MISS_seq_curt,HOME_lat,HOME_lon,HOME_alt,MAN_pitch,MAN_roll,MAN_yaw,MAN_thrust,THRS_x,THRS_y,THRS_z,VBAT_v0,VBAT_v1,VBAT_v2,VBAT_v3,VBAT_v4,VBAT_v5,VTOL_Mode,VTOL_Weight,VTOL_Tilt,TIME_StartTime,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.008812324,0.036483161,-1.034564972,0.000900855,-0.006322235,-0.001126709,0,0,0,,,,,0.003132643,-0.084581353,-1.034423947,0,,,,,0.407869518,0.049401518,-9.755952835,0.002698406,-0.006642591,0.000404184,0.215916902,0.30770424,0.316772997,,,,,,,,,,,,,,,,,,,1019.899963,-55.20895767,27.19999886,17.67188644,7.47971344,0.003062129,-0.005624622,0.029144168,0,0,0.05436191,0.009736271,0.050356325,34.1032656,134.4496105,11.34246063,31,0,0,0,0,,,,,1.51E+15,3,0.501000047,0.570000052,34.1032651,134.4496104,8.809000015,-0.024,-0.045000002,-0.042000003,1.041895151,13,0,130,6,,,,,-0.011136048,-0.285182714,0.002600119,0,,,,,0,2,0,1,0,0,,,,,,,,,,,906,906,906,906,906,906,906,906,0,0,0,0,0,0.949999988,0,0,3.494535208,3.460760355,11.38488579,,,,-0.016850924,-0.36319229,0.00171819,,,,,,,,,,,34.1032656,134.4496105,11.31289864,0.05436191,0.009736271,0.050356325,0.501000047,0.570000052,-1,,,,,,,,,,46721,126,40,7,49756,39321,0,0,0,0,1019.899963,54777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387767695,,
0.008812324,0.036483161,-1.034564972,0.000900855,-0.006322235,-0.001126709,0,0,0,,,,,0.003132643,-0.084581353,-1.034423947,0,,,,,0.407869518,0.049401518,-9.755952835,0.002698406,-0.006642591,0.000404184,0.215916902,0.30770424,0.316772997,,,,,,,,,,,,,,,,,,,1019.899963,-55.20895767,27.19999886,17.67188644,7.47971344,0.003062129,-0.005624622,0.029144168,0,0,0.05436191,0.009736271,0.050356325,34.1032656,134.4496105,11.34246063,31,0,0,0,0,,,,,1.51E+15,3,0.501000047,0.570000052,34.1032651,134.4496104,8.809000015,-0.024,-0.045000002,-0.042000003,1.041895151,13,0,130,6,,,,,-0.011136048,-0.285182714,0.002600119,0,,,,,0,2,0,1,0,0,,,,,,,,,,,906,906,906,906,906,906,906,906,0,0,0,0,0,0.949999988,0,0,3.494535208,3.460760355,11.38488579,,,,-0.016850924,-0.36319229,0.00171819,,,,,,,,,,,34.1032656,134.4496105,11.31289864,0.05436191,0.009736271,0.050356325,0.501000047,0.570000052,-1,,,,,,,,,,46721,126,40,107,32768,28261,0,0,0,0,6.73E-44,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,387767695,,
0.008863801,0.03633159,-1.034482598,0.000352595,-0.007332197,0.000833127,0,0,0,,,,,0.003132643,-0.084581353,-1.034423947,0,,,,,0.335419178,-0.112057745,-9.766505241,0.000896072,-0.005646008,-0.0009066,0.210231587,0.304298908,0.317666978,,,,,,,,,,,,,,,,,,,1019.899963,-55.20895767,27.18999863,7.459741592,8.158031464,0.002829671,-0.010177225,0.034159541,0,0,0.054477949,0.004358038,0.050750744,34.1032656,134.4496105,11.34246063,31,0,0,0,0,,,,,1.51E+15,3,0.501000047,0.570000052,34.1032651,134.4496104,8.809000015,-0.024,-0.045000002,-0.042000003,1.041895151,13,0,130,6,,,,,-0.008417918,-0.285046309,0.001106695,0,,,,,0,2,0,1,0,0,,,,,,,,,,,911,911,911,911,911,911,911,911,0,0,0,0,0,0.949999988,0,0,3.652933121,3.618161201,11.39060307,,,,-0.017025914,-0.36273849,0.001558664,,,,,,,,,,,34.1032656,134.4496104,11.30788326,0.054477949,0.004358038,0.050750744,0.501000047,0.570000052,-1,,,,,,,,,,59653,233,63,109,115,16,7.59E+31,4.32E+27,1953265005,4.74E+30,4.52E+27,29801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,387904783,,
0.008797582,0.036358073,-1.034523606,0.003142605,-0.007286523,-0.003693913,0,0,0,,,,,0.003132643,-0.088609032,-1.034423947,0,,,,,0.310037345,0.06326919,-9.77712059,0.003467908,-0.00628582,-0.003777174,0.211179152,0.303447545,0.320349008,,,,,,,,,,,,,,,,,,,1019.889954,-55.12615585,27.18999863,2.204370499,8.184614182,0.00230813,-0.011133879,0.034229755,0,0,0.055014335,0.004754973,0.051058222,34.1032656,134.4496105,11.34246063,31,0,0,0,0,,,,,1.51E+15,3,0.501000047,0.570000052,34.1032651,134.4496104,8.809000015,-0.024,-0.045000002,-0.042000003,1.041895151,13,0,130,6,,,,,-0.012736009,-0.290335417,0.005388192,0,,,,,0,2,0,1,0,0,,,,,,,,,,,912,912,912,912,912,912,912,912,0,0,0,0,0,0.949999988,0,0,3.655493736,3.621609449,11.38917351,,,,-0.016806245,-0.37490052,0.001679295,,,,,,,,,,,34.1032656,134.4496104,11.30781364,0.055014335,0.004754973,0.051058222,0.501000047,0.570000052,-1,,,,,,,,,,12373,14,58,9,0,14,5.61E-45,1.40E-44,3,1.54E-44,1.68E-44,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,387928661,,
0.008797582,0.036358073,-1.034523606,0.003142605,-0.007286523,-0.003693913,0,0,0,,,,,0.003132643,-0.088609032,-1.034423947,0,,,,,0.310037345,0.06326919,-9.77712059,0.003467908,-0.00628582,-0.003777174,0.211179152,0.303447545,0.320349008,,,,,,,,,,,,,,,,,,,1019.889954,-55.12615585,27.18999863,2.204370499,8.184614182,0.00230813,-0.011133879,0.034229755,0,0,0.055014335,0.004754973,0.051058222,34.1032656,134.4496105,11.34246063,31,0,0,0,0,,,,,1.51E+15,3,0.501000047,0.570000052,34.1032651,134.4496104,8.809000015,-0.024,-0.045000002,-0.042000003,1.041895151,13,0,130,6,,,,,-0.012736009,-0.290335417,0.005388192,0,,,,,0,2,0,1,0,0,,,,,,,,,,,912,912,912,912,912,912,912,912,0,0,0,0,0,0.949999988,0,0,3.655493736,3.621609449,11.38917351,,,,-0.016806245,-0.37490052,0.001679295,,,,,,,,,,,34.1032656,134.4496104,11.30781364,0.055014335,0.004754973,0.051058222,0.501000047,0.570000052,-1,,,,,,,,,,12373,14,58,13,8192,16,1.09E-19,2.24E-44,536883253,-2.24E-44,1.09E-19,18084,,,,16.22780037,16.24441528,0,0.619321942,0.619321942,0,1,20,126,206,236,52835,16480,52,1.47E+11,20,126,206,236,52835,16480,52,1.47E+11,20,126,206,236,52835,16480,52,1.47E+11,20,126,206,236,52835,16480,52,1.47E+11,0.868994117,0.012814372,0.013619957,-0.494468987,0.054214671,0.004184654,0.050897412,1.059802651,-0.269659251,-1.929165125,2.99E-05,-6.14E-05,23,0,95,0,-3.58E-06,9.02E-05,0,0,0.352698058,-0.038508259,0.303969949,1.00E-06,1.00E-06,1.00E-06,0,0,0,0,0,0,5.190087795,5.190087795,4.76E-44,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.112820514,0.005128205,1,0,,,,,,,,,,1,1,0,387928661,,
0.008818753,0.036360953,-1.034592509,0.006976219,-0.006123091,-0.003509275,0,0,0,,,,,0.003132643,-0.090622872,-1.034423947,0,,,,,0.366973281,-0.136535779,-9.761400223,0.005607327,-0.007021438,-0.002418704,0.211179152,0.303447545,0.323924989,,,,,,,,,,,,,,,,,,,1019.929993,-55.45735931,27.18999863,6.936059952,8.180526733,0.002105236,-0.011778355,0.036813855,0,0,0.05548339,0.005133932,0.05138484,34.1032656,134.4496105,11.34246063,31,0,0,0,0,,,,,1.51E+15,3,0.501000047,0.570000052,34.1032651,134.4496104,8.809000015,-0.024,-0.045000002,-0.042000003,1.041895151,13,0,130,6,,,,,-0.018130571,-0.2954413,0.005342971,0,,,,,0,2,0,1,0,0,,,,,,,,,,,913,913,913,913,913,913,913,913,0,0,0,0,0,0.949999988,0,0,3.654580832,3.619855642,11.39631939,,,,-0.016844772,-0.380950034,0.00184223,,,,,,,,,,,34.1032656,134.4496104,11.30522919,0.05548339,0.005133932,0.05138484,0.501000047,0.570000052,-1,,,,,,,,,,30920,83,87,76,2050,1,0,4.14E-34,134881309,4.16E-34,1.10E-19,11339,,,,16.17860031,16.24438095,0,0.619321942,0.619321942,0,1,20,126,206,236,52835,16480,52,1.47E+11,20,126,206,236,52835,16480,52,1.47E+11,20,126,206,236,52835,16480,52,1.47E+11,20,126,206,236,52835,16480,52,1.47E+11,0.868994117,0.012814372,0.013619957,-0.494468987,0.054214671,0.004184654,0.050897412,1.059802651,-0.269659251,-1.929165125,2.99E-05,-6.14E-05,23,0,95,0,-3.58E-06,9.02E-05,0,0,0.352698058,-0.038508259,0.303969949,1.00E-06,1.00E-06,1.00E-06,0,0,0,0,0,0,5.190087795,5.190087795,4.76E-44,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.112820514,0.005128205,1,0,,,,,,,,,,1,1,0,387949864,,
0.00884577,0.036361337,-1.034647942,0.001762864,-0.004880229,-0.000666548,0,0,0,,,,,0.003132643,-0.078539826,-1.034423947,0,,,,,0.382201493,-0.125592306,-9.79487133,0.001792733,-0.004941582,-0.000670128,0.216864467,0.306852907,0.318560988,,,,,,,,,,,,,,,,,,,1019.909973,-55.29175949,27.18999863,2.522954941,8.157806396,0.001969814,-0.01272136,0.03847146,0,0,0.053944889,0.002818056,0.052147612,34.1032656,134.4496105,11.34246063,31,0,0,0,0,,,,,1.51E+15,3,0.501000047,0.570000052,34.1032651,134.4496104,8.809000015,-0.024,-0.045000002,-0.042000003,1.041895151,13,0,130,6,,,,,-0.005875301,-0.270854145,0.002362486,0,,,,,0,2,0,1,0,0,,,,,,,,,,,914,914,914,914,914,914,914,914,0,0,0,0,0,0.949999988,0,0,3.649502277,3.614592314,11.37916851,,,,-0.016948935,-0.344701529,0.0018153,,,,,,,,,,,34.1032656,134.4496104,11.3035717,0.053944889,0.002818056,0.052147612,0.501000047,0.570000052,-1,,,,,,,,,,47628,19,17,18,116,21844,1.80E+22,4.51E+21,1667853615,7.87E+31,5.53E-11,30836,,,,16.26059914,16.24437332,0,0.619321942,0.619321942,0,1,211,116,110,219,52835,16480,52,1.47E+11,211,116,110,219,52835,16480,52,1.47E+11,211,116,110,219,52835,16480,52,1.47E+11,211,116,110,219,52835,16480,52,1.47E+11,0.86895746,0.012832327,0.013622911,-0.494532704,0.054403767,0.00391998,0.051802624,1.059102893,-0.271213025,-1.925198436,2.99E-05,-6.14E-05,23,0,95,0,-3.58E-06,8.88E-05,0,0,0.352698058,-0.038508259,0.303969949,1.00E-06,1.00E-06,1.00E-06,0,0,0,0,0,0,5.180419922,5.180419922,4.76E-44,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.100000001,0.005128205,1,0,,,,,,,,,,1,1,0,387972639,,
0.008829815,0.036351591,-1.034644008,0.002960319,-0.008130738,0.002402892,0,0,0,,,,,0.003132643,-0.078539826,-1.034423947,0,,,,,0.388181359,0.054782338,-9.725061417,0.003077259,-0.005538871,0.003040686,0.212126702,0.304298908,0.315878987,,,,,,,,,,,,,,,,,,,1019.880005,-55.04335403,27.18999863,9.882818222,8.122859955,0.001757026,-0.013354182,0.037505746,0,0,0.054660358,0.002545635,0.052037679,34.1032656,134.4496105,11.34246063,31,0,0,0,0,,,,,1.51E+15,3,0.501000047,0.570000052,34.1032651,134.4496104,8.809000015,-0.024,-0.045000002,-0.042000003,1.041895151,13,0,130,6,,,,,-0.011958327,-0.268675983,-0.000820678,0,,,,,0,2,0,1,0,0,,,,,,,,,,,915,915,915,915,915,915,915,915,0,0,0,0,0,0.949999988,0,0,3.635010719,3.600814819,11.38631439,,,,-0.016902238,-0.344672322,0.001805376,,,,,,,,,,,34.1032656,134.4496104,11.30453682,0.054660358,0.002545635,0.052037679,0.501000047,0.570000052,-1,,,,,,,,,,18320,88,46,87,0,0,5.38E-41,1.16E+33,3,7.93E+34,1.84E-41,0,,,,16.23600006,16.24428368,0,0.619321942,0.619321942,0,1,34,113,98,223,52835,16480,52,1.47E+11,34,113,98,223,52835,16480,52,1.47E+11,34,113,98,223,52835,16480,52,1.47E+11,34,113,98,223,52835,16480,52,1.47E+11,0.868954122,0.012828619,0.013617798,-0.494538963,0.053924046,0.002506447,0.051766969,1.059178114,-0.271861166,-1.925890088,2.99E-05,-6.14E-05,23,0,95,0,-3.58E-06,8.88E-05,0,0,0.352698058,-0.038508259,0.303969949,1.00E-06,1.00E-06,1.00E-06,0,0,0,0,0,0,5.188476563,5.188476563,4.76E-44,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.100000001,0.005128205,1,0,,,,,,,,,,1,1,0,387993131,,
