,index,phi,theta,psi,d_phi,d_theta,d_psi,dd_phi,dd_theta,dd_psi,position_x,position_y,position_z,u,v,w,Va,pitot_Va,Tm_up,Tm_down,Tr_r,Tr_l,Tf_up,Tf_down,alpha,alpha_deg,d_alpha,delta_e,delta_a,tilt,F_x,T_x,F_z,T_z,L,D,M,L_total,D_total,Mt,Mg,Ma,CL_log,CD_log,Cm_log,Time_DIFF,CL_0,CL_alpha,CL_d_alpha,CL_q,CL_delta_e,k_L,CD_0,kappa,k_D,Cm_0,Cm_alpha,Cm_d_alpha,Cm_q,Cm_delta_e,k_m,CL,CD,Cm,L_calc,D_calc,Ma_calc,CL_RMSE,CD_RMSE,Cm_RMSE
67,67,-0.053285643,-0.150976628,-1.270724893,0.14799326699999998,-0.024574997521623933,-0.0015689120000000002,-0.5988243115114286,-0.4472939275093636,0.29701846743954846,-0.7982631920000001,1.313516617,-3.291684866,4.454480600993928,-0.5605369739308574,0.2941577578993957,4.505579785777979,3.184478045,18.164295547066672,20.97790188526667,6.984575153709122,9.0,1.0900949802041244,1.0900949802041244,0.06470288585471737,3.778120158068546,0.1710874762151885,0.0,0.0,0.0,-4.035975489492864,0.0,-52.612575108810944,-57.30696254645072,-2.171989384153662,5.263302032432175,-0.07460862710856185,52.23229043727905,7.493997158245238,-1.8641270805050953,-2.0537309736775367,1.640830642344454,-0.3303239153502959,0.8004618013828955,0.5792423430140186,0.025089999999998724,0.1312614802785539,0.7356584886523014,-36.871384514354176,36.32561025081268,-1.111517721882179,-1.3182164337745375,0.23853828536498323,0.22283664766347946,1.9356552911174423,1.2371454813223528,-0.04573856804103349,-7.798727949212596,8.41397433466607,0.4091852228995726,-1.0472401445012678,-1.0686795723242835,1.8193934786516515,-0.5051760888451742,-7.026922902898863,11.96311601307813,-1.4310217758663153,0.3587954328885291,0.3885830789485551,0.7421758122231736
68,68,-0.049258145999999996,-0.14912676800000002,-1.2707481379999999,0.143066198,-0.023703739770275706,-0.00091499,0.5395182000820884,-0.16571003002743484,0.20925169039338065,-0.802016139,1.299734116,-3.277669191,4.464302383808127,-0.5782616737089172,0.28520206675358606,4.557175355852717,3.023367882,18.086139815450007,21.056057616883336,1.6246818162886851,2.869312915458495,7.315405981645859,7.315405981645859,0.07169140171081391,3.6553747840956357,0.029017354295876565,0.0,0.0,0.0,-6.562168623696854,0.0,-56.23278725628251,-58.267004127372246,-4.072971243606567,5.401788852270642,-0.027640433008576132,55.700014558902424,10.133942855286792,7.01751783721898,-2.0582621395360023,-1.6220433316937188,-0.605485228157118,0.8030263805097475,-0.5597174987087101,0.021201000000001358,0.1312614802785539,0.7356584886523014,-36.871384514354176,36.32561025081268,-1.111517721882179,-1.3182164337745375,0.23853828536498323,0.22283664766347946,1.9356552911174423,1.2371454813223528,-0.04573856804103349,-7.798727949212596,8.41397433466607,0.4091852228995726,-1.0472401445012678,-0.8003171009513586,1.692608810353905,-0.43308598407135324,-5.383564100915775,11.385821966671761,-1.2550692700042592,0.3587954328885291,0.3885830789485551,0.7421758122231736
69,69,-0.046391657999999995,-0.147678912,-1.270469904,0.17296810399999998,0.0016680226647982914,0.008117558,0.8814321726224582,1.8466974768809494,0.29631578947368853,-0.8063610790000001,1.28853035,-3.270965815,4.47265622482762,-0.5955738751914266,0.3013926095002617,4.528654061953667,2.788976431,18.164295547066672,21.290524811733334,1.0698946305991635,1.2460330117625582,9.0,9.0,0.06711902167199589,3.855082275455598,0.11062787776527888,0.0,0.0,0.0,-6.546918810175439,0.0,-54.67948458281273,-59.77074800116173,-5.6931169661404075,5.827975917283503,0.30802913914374236,54.1155911680776,10.208377573276056,9.243973747951275,-2.061746584137896,-6.86772730411329,-0.8570289684424668,0.8773303303274932,-2.399786809742941,0.022593999999998005,0.1312614802785539,0.7356584886523014,-36.871384514354176,36.32561025081268,-1.111517721882179,-1.3182164337745375,0.23853828536498323,0.22283664766347946,1.9356552911174423,1.2371454813223528,-0.04573856804103349,-7.798727949212596,8.41397433466607,0.4091852228995726,-1.0472401445012678,-0.9091692922026982,1.7423333351110386,-0.4634943007359149,-6.03947744256502,11.574063230114197,-1.326431352794172,0.3587954328885291,0.3885830789485551,0.7421758122231736
71,0,-0.011615706000000002,-0.180318564,-1.016591787,-0.103898071,-0.13946275977838876,-0.024336102999999998,0.0,0.0,0.0,0.38755214200000004,2.137583733,-3.11746645,5.047850232373929,0.06378953666516758,0.1634743312509329,4.9785906309985855,3.6172494889999998,20.04217749333333,20.333958891368884,7.777166258679121,9.0,1.5820120887250386,1.5820120887250386,0.00939624332917219,1.8548721587189363,0.0,0.1745329278174269,0.0,0.0,-11.234611600732947,0.0,-55.26907920713494,-60.31732682083141,-6.439200784450726,9.84496193952735,0.0,54.87647771932737,13.017672885122213,-1.4854165816808913,-1.9917225099853295,2.478845197994162,-0.802052544598201,1.2262665879495334,0.7166951810371461,0.0208529999999989,0.1312614802785539,0.7356584886523014,-36.871384514354176,36.32561025081268,-1.111517721882179,-1.3182164337745375,0.23853828536498323,0.22283664766347946,1.9356552911174423,1.2371454813223528,-0.04573856804103349,-7.798727949212596,8.41397433466607,0.4091852228995726,-1.0472401445012678,-1.0924676949650463,1.704833425634436,-0.25007034969829256,-8.770770550862215,13.687089213341428,-0.8649223573866963,0.3587954328885291,0.3885830789485551,0.7421758122231736
72,1,-0.013596925,-0.181974992,-1.016875386,-0.142198339,-0.13126020075382613,-0.032449186,0.04023934314643165,2.6204796009530194,0.08333434016846987,0.390105486,2.136339903,-3.107411861,5.056834130539955,0.06279830425049773,0.16279078551408144,5.062461463989856,3.631042957,20.125543607057775,20.29227583450666,1.875288806496002,2.4458014026437644,7.374711737728121,7.374711737728121,0.03175705997889047,1.843842344126812,-0.07862905472845379,0.1745329278174269,0.0,0.0,-7.6626905975881545,0.0,-55.072804890370165,-59.48833312616044,-4.944502526557447,8.786791717855298,0.43709599743896366,54.79773857603857,9.430721745406377,7.114182690058903,-1.9879339603766892,-3.514971512232214,-0.5956385958740144,1.0584992631614019,-0.982870413227652,0.02615899999999982,0.1312614802785539,0.7356584886523014,-36.871384514354176,36.32561025081268,-1.111517721882179,-1.3182164337745375,0.23853828536498323,0.22283664766347946,1.9356552911174423,1.2371454813223528,-0.04573856804103349,-7.798727949212596,8.41397433466607,0.4091852228995726,-1.0472401445012678,-0.9228075138920941,1.6087565871289486,-0.19624983631847703,-7.660390235912039,13.354576188943787,-0.7018347227224019,0.3587954328885291,0.3885830789485551,0.7421758122231736
73,2,-0.016620286,-0.18429152699999998,-1.017613649,-0.102006339,-0.06748035761956048,-0.020418389,0.9128803581232485,2.9067463997635574,0.0025463068541745873,0.39378249600000004,2.13512969,-3.08347702,5.071031147088221,0.05789482833339924,0.14546243197032316,5.094696209945864,3.6516330239999997,19.750396095297777,20.667423346266673,3.216749110441968,2.5222821636706403,5.992734471833162,5.992734471833162,0.03793661910258101,1.6430777871600977,0.0021584896097482727,0.174532927817427,0.0,0.0,-7.949981072812577,0.0,-54.14962098561135,-58.142319659343386,-3.4201166173220683,7.748844163539891,0.4848452994805614,53.89940551585288,9.49935455602576,5.3577663496110866,-1.982601569158153,-5.585537128203664,-0.4068066259294222,0.921688205910001,-1.5421487659483821,0.021198999999999302,0.1312614802785539,0.7356584886523014,-36.871384514354176,36.32561025081268,-1.111517721882179,-1.3182164337745375,0.23853828536498323,0.22283664766347946,1.9356552911174423,1.2371454813223528,-0.04573856804103349,-7.798727949212596,8.41397433466607,0.4091852228995726,-1.0472401445012678,-0.9406574564352743,1.608699857373135,-0.1909694447821335,-7.908323003864603,13.524708703835238,-0.6916757628937786,0.3587954328885291,0.3885830789485551,0.7421758122231736
74,3,-0.018315541,-0.183617979,-1.017970681,-0.098966151,-0.010452830764364452,-0.032328598,0.5515206920415197,0.4897344867358684,0.1437130795847743,0.396276355,2.13363409,-3.075423717,5.078019308759852,0.052136482055188706,0.16399240740409415,5.089788196631394,3.6771836280000003,19.750396095297777,20.667423346266673,3.216749110441968,2.5222821636706403,5.992734471833162,5.992734471833162,0.03272762748886726,1.8496992190300228,0.02122960442501385,0.1745329278174269,0.0,0.0,-7.46878887836713,0.0,-56.046879475377,-58.142319659343386,-2.7071076195045354,6.909222403417797,0.08168771238754285,55.7766000049323,9.27396345296023,5.3577663496110866,-1.984053428077572,-1.7047563133992432,-0.3226188876416546,0.8234048880064164,-0.47158588749325336,0.02215100000000092,0.1312614802785539,0.7356584886523014,-36.871384514354176,36.32561025081268,-1.111517721882179,-1.3182164337745375,0.23853828536498323,0.22283664766347946,1.9356552911174423,1.2371454813223528,-0.04573856804103349,-7.798727949212596,8.41397433466607,0.4091852228995726,-1.0472401445012678,-0.887451690601282,1.5881565356911742,-0.17816310623278997,-7.446641612122171,13.32628318869823,-0.6440495532630075,0.3587954328885291,0.3885830789485551,0.7421758122231736
75,4,-0.020878498,-0.18214222800000002,-1.018509388,-0.078097917,-0.016935398000373175,-0.014188427,0.9280233722871583,-2.535485577814913,0.5741592932665635,0.40023636799999995,2.131380081,-3.055993557,5.09345883459552,0.046335889333537966,0.1507972792020137,5.085295408097941,3.690652609,19.500297754124446,20.875838630577782,9.0,6.643984064168883,1.919900312541537,1.919900312541537,0.027072470980016698,1.6958072850913766,-0.048868740134934086,0.17453292781742688,0.0,0.0,-6.332671741567546,0.0,-57.60165589812086,-59.85992107395418,-3.1507463239781246,6.392701244815995,-0.42291899437952746,57.38902461897469,8.034509747003021,-0.9065442358973939,-1.987265319161121,3.01680471258768,-0.3761531941737447,0.7631953655983083,0.8360124364589276,0.02097699999999847,0.1312614802785539,0.7356584886523014,-36.871384514354176,36.32561025081268,-1.111517721882179,-1.3182164337745375,0.23853828536498323,0.22283664766347946,1.9356552911174423,1.2371454813223528,-0.04573856804103349,-7.798727949212596,8.41397433466607,0.4091852228995726,-1.0472401445012678,-0.7928560373608623,1.553774011215125,-0.15837062487139586,-6.641145905050419,13.01477118885651,-0.5714905982393902,0.3587954328885291,0.3885830789485551,0.7421758122231736
76,5,-0.022491692999999997,-0.182118267,-1.018657804,-0.05894235900000001,-0.08676984210440966,-0.0075662559999999995,0.8409122679686885,-2.7265985308348957,0.5750008797396019,0.40296065799999997,2.130198479,-3.035094738,5.110335901736946,0.044607496398832214,0.15425494209188284,5.102717948844079,3.6990549560000003,19.291882469813338,21.08425391488889,9.0,9.0,1.3166782168531246,1.3166782168531246,0.02682148678564759,1.7289420024686715,-0.05572938891959084,0.17453292781742688,0.0,0.0,-6.243729235298094,0.0,-55.902338033190134,-61.009492818408475,-4.423320396036873,6.261568816588042,-0.4547966349432606,55.688507838030006,7.927524652402121,-2.0032542386660377,-1.987238031405343,2.185556433329936,-0.5244800334969021,0.7424440304187899,0.6015293341571399,0.02449100000000115,0.1312614802785539,0.7356584886523014,-36.871384514354176,36.32561025081268,-1.111517721882179,-1.3182164337745375,0.23853828536498323,0.22283664766347946,1.9356552911174423,1.2371454813223528,-0.04573856804103349,-7.798727949212596,8.41397433466607,0.4091852228995726,-1.0472401445012678,-0.8868883256722927,1.5849586943529728,-0.17590030237433507,-7.479772287606859,13.367105841692423,-0.639104388845117,0.3587954328885291,0.3885830789485551,0.7421758122231736
77,6,-0.02384829,-0.18354080600000003,-1.018618464,-0.039863317999999995,-0.16873097382510438,0.011955713,1.4803816130103002,-2.1907463214957574,0.4773158092709407,0.40769243200000005,2.127488613,-3.0161838530000002,5.128000085530439,0.0430199420786872,0.13881560894509237,5.132552797576048,3.6990549560000003,19.667029981573336,20.709106403128892,1.8033998838064997,1.6817601232325616,8.468146307865855,8.468146307865855,0.029027621359286954,1.5506252884852618,-0.07502288777978833,0.1745329278174269,0.0,0.0,-6.747411125706968,0.0,-54.94415939101942,-60.797589007473,-5.987816454828492,6.460433967818704,-0.36541648642549235,54.74145275222628,8.231740925274474,8.44954502592624,-1.9839566065145189,-4.241433266494188,-0.7017546789420386,0.7571440773300577,-1.1538349780059374,0.0207039999999985,0.1312614802785539,0.7356584886523014,-36.871384514354176,36.32561025081268,-1.111517721882179,-1.3182164337745375,0.23853828536498323,0.22283664766347946,1.9356552911174423,1.2371454813223528,-0.04573856804103349,-7.798727949212596,8.41397433466607,0.4091852228995726,-1.0472401445012678,-0.9754565827106395,1.6149067031985536,-0.19000679002465848,-8.3232148672399,13.779409273057096,-0.6984544024338077,0.3587954328885291,0.3885830789485551,0.7421758122231736
