,index,phi,theta,psi,d_phi,d_theta,d_psi,dd_phi,dd_theta,dd_psi,position_x,position_y,position_z,u,v,w,Va,pitot_Va,Tm_up,Tm_down,Tr_r,Tr_l,Tf_up,Tf_down,alpha,alpha_deg,d_alpha,delta_e,delta_a,tilt,F_x,T_x,F_z,T_z,L,D,M,L_total,D_total,Mt,Mg,Ma,CL_log,CD_log,Cm_log,Time_DIFF,CL_0,CL_alpha,CL_d_alpha,CL_q,CL_delta_e,k_L,CD_0,kappa,k_D,Cm_0,Cm_alpha,Cm_d_alpha,Cm_q,Cm_delta_e,k_m,CL,CD,Cm,L_calc,D_calc,Ma_calc,CL_kawano,CD_kawano,Cm_kawano,CL_RMSE,CD_RMSE,Cm_RMSE
0,0,0.059346199,-0.115654059,-1.269491315,0.08127883799999999,0.018898253261078118,0.027569771,0.0,0.0,0.0,-0.932085633,1.505950928,-3.70834136,4.022401189335048,-0.37453922530648204,-0.04233660785460719,4.18698128818331,1.959581494,18.633229936766668,23.40072956538334,1.0214438563825639,1.0170778024321245,9.0,9.0,0.015096255451825278,-0.6030277109133165,0.0,0.0,0.0,0.0,-6.473306485911895,0.0,-55.89164745502955,-62.0724811609647,-5.546789942128779,6.507854879660645,0.0,55.95668099548428,5.884709344349021,9.29668088482521,-2.1290109073539556,-6.685028306436786,-0.9768398495620602,1.1460920727024406,-2.7327450958295643,0.02149999999999963,0.28117603556243503,0.6150866262777281,-1.8937023514123044,32.33038805529081,-0.7839349165175371,-1.5663964574997304,0.027593662436084434,0.09582454689945712,2.4471659158419294,1.22024632789388,0.3737798541106289,-0.20420826359690186,4.257949578380773,0.15471587438541048,-0.982240404397684,-0.8331116712727568,1.898558206107211,-0.45115305037759623,-4.730658194337146,10.78058349779934,-1.1036415057197242,-0.6767364302971294,1.6051470513452804,-0.1819263699275635,0.5951930399786935,0.4083850155637772,0.691196805361917
1,1,0.060798973,-0.115619011,-1.268902421,0.050611435999999996,-0.0033170734810207413,0.011271159,-1.9698268662773222,-1.0406313665366262,-0.0488285347101651,-0.934782624,1.503643036,-3.7041614060000003,4.02439033134887,-0.36495560759194395,-0.02439035467300449,4.035468979701565,1.965944409,18.594152070958337,23.439807431191674,4.539217247004962,2.3804974659675673,5.267158054018559,5.267158054018559,-0.008495738985393277,-0.3472444665379932,0.01927100621951337,0.0,0.0,0.0,-6.421158755298367,0.0,-55.31011168768115,-59.48799032315966,-4.4608631265689045,6.827070600279362,-0.17357731193830928,55.34801148498491,6.0858326728958465,4.352716270659189,-2.1288803486637677,-0.7682575598365662,-0.8456965522837271,1.2942854118222338,-0.33807785873065954,0.022853000000001344,0.28117603556243503,0.6150866262777281,-1.8937023514123044,32.33038805529081,-0.7839349165175371,-1.5663964574997304,0.027593662436084434,0.09582454689945712,2.4471659158419294,1.22024632789388,0.3737798541106289,-0.20420826359690186,4.257949578380773,0.15471587438541048,-0.982240404397684,-0.9300931135515482,1.982692572764875,-0.5281952364575544,-4.906036406691878,10.458266816016971,-1.200285593980481,-0.6912475505626811,1.6215328709251446,-0.19074458216648593,0.5951930399786935,0.4083850155637772,0.691196805361917
2,2,0.061090640999999994,-0.115930289,-1.268077254,-0.006088893000000001,-0.012254039472373458,0.025404079,-1.3765219711875607,1.7555216997987306,0.0024741841373227707,-0.936024547,1.500335693,-3.69805932,4.022836044825834,-0.3613848089169851,-0.03890240765043523,3.9900095582368644,2.0002274509999998,19.41478725293334,22.541016517600003,9.0,9.0,1.0132044659589652,1.0132044659589652,-0.016053100229911486,-0.5540554646808404,0.042138723539088124,0.0,0.0,0.0,-7.628058982356072,0.0,-54.97377568587741,-61.98221270245127,-3.361844157830456,7.335824955768574,0.29282101952642825,55.04496827156916,7.096109143848781,-2.3297919946281533,-2.1281797195811127,3.6442373872870784,-0.6519486553641849,1.4226064598386263,1.6404262126176936,0.021363999999998384,0.28117603556243503,0.6150866262777281,-1.8937023514123044,32.33038805529081,-0.7839349165175371,-1.5663964574997304,0.027593662436084434,0.09582454689945712,2.4471659158419294,1.22024632789388,0.3737798541106289,-0.20420826359690186,4.257949578380773,0.15471587438541048,-0.982240404397684,-0.9664187245723328,2.010624712158663,-0.5532108288543953,-4.983443276536191,10.3680050362007,-1.228968160869728,-0.6958959823941337,1.6281344109461697,-0.19356937154992315,0.5951930399786935,0.4083850155637772,0.691196805361917
3,3,0.060951069000000004,-0.115491897,-1.267500401,-0.010254236,0.016181517062230637,0.01138056,-0.6167429936598503,1.096855761279084,0.309854980244425,-0.9369343520000001,1.4981708530000002,-3.693205595,4.01653779889796,-0.35045501569870174,-0.016858758539889385,4.019569454839018,2.0889809130000003,19.37570938712501,22.580094383408337,6.063124667739125,6.223304106803839,2.763549666205997,2.763549666205997,-0.011741117541837213,-0.24048822346243728,-0.20171921755967528,0.0,0.0,0.0,-8.088779453198915,0.0,-61.502064375667864,-59.76933187748831,-2.644756154127067,7.834539552770046,0.1829555409813512,61.53547364835285,7.830565649054893,0.6391579736744895,-2.129127649576696,3.1375231663760963,-0.5053709226499236,1.497056156251784,1.3916363996594552,0.02216800000000063,0.28117603556243503,0.6150866262777281,-1.8937023514123044,32.33038805529081,-0.7839349165175371,-1.5663964574997304,0.027593662436084434,0.09582454689945712,2.4471659158419294,1.22024632789388,0.3737798541106289,-0.20420826359690186,4.257949578380773,0.15471587438541048,-0.982240404397684,-0.8806509770989479,1.9815192396447996,-0.5294441952620015,-4.608708152633185,10.36987877357958,-1.1936619567757603,-0.6932437395099582,1.612953981309349,-0.19195763928984722,0.5951930399786935,0.4083850155637772,0.691196805361917
4,4,0.059890865999999994,-0.114063852,-1.26644659,-0.032936949,0.0709925836662642,0.038892686,-1.6310508435512046,1.9687314234350421,0.5905184613257094,-0.938398242,1.495616913,-3.687218904,4.010036764099528,-0.33865846139313377,-0.0739989218586935,4.049288525421561,2.3269412519999997,19.37570938712501,22.580094383408337,6.063124667739125,6.223304106803839,2.763549666205997,2.763549666205997,-0.0067007085711459176,-1.057183511653843,-0.02047958862998779,0.0,0.0,0.0,-7.687206822169265,0.0,-58.08047024477196,-59.76933187748831,-2.5825521124421917,7.908052495030036,0.328384401428965,58.212414893479774,6.614297003463108,0.6391579736744895,-2.132297882155066,-1.297244241899662,-0.4862676037425395,1.4890037333620478,-0.5669727929555667,0.021219999999999573,0.28117603556243503,0.6150866262777281,-1.8937023514123044,32.33038805529081,-0.7839349165175371,-1.5663964574997304,0.027593662436084434,0.09582454689945712,2.4471659158419294,1.22024632789388,0.3737798541106289,-0.20420826359690186,4.257949578380773,0.15471587438541048,-0.982240404397684,-0.7930679357775636,1.9536773024702543,-0.5043046770711368,-4.211959129271809,10.375919361463998,-1.153858433106279,-0.6901434513611158,1.598907119172949,-0.19007363596012428,0.5951930399786935,0.4083850155637772,0.691196805361917
5,5,0.058946989000000005,-0.112237431,-1.26556921,-0.08102227,0.11060915127406173,0.037001975,-1.38142552313976,0.42489797690372394,0.15049153425371772,-0.937747598,1.4940338130000002,-3.6838562489999997,4.008163101590365,-0.32824506021896765,-0.02038521112813524,4.038836791708057,2.429334402,18.594152070958337,23.36165169957501,1.6434307650223394,1.2499422533233673,9.0,9.0,-0.0074708943223286434,-0.29139944210285007,0.07407457559369726,0.0,0.0,0.0,-6.9797100088405575,0.0,-56.44905762237891,-62.849176788879056,-3.045392510962653,7.386435373462823,0.07087298254754115,56.48382537586111,6.692527861084475,9.134259126514317,-2.1362855835561034,-5.143093668557602,-0.5763872381820119,1.3979961760575712,-2.259486440720346,0.02484799999999865,0.28117603556243503,0.6150866262777281,-1.8937023514123044,32.33038805529081,-0.7839349165175371,-1.5663964574997304,0.027593662436084434,0.09582454689945712,2.4471659158419294,1.22024632789388,0.3737798541106289,-0.20420826359690186,4.257949578380773,0.15471587438541048,-0.982240404397684,-0.7375502202398716,1.950362843765408,-0.5010821162608639,-3.896911257546053,10.304913094185093,-1.140574341639813,-0.6906171823164179,1.5907642919051745,-0.19036151587783956,0.5951930399786935,0.4083850155637772,0.691196805361917
6,6,0.05617149900000001,-0.109520353,-1.264215589,-0.09657646,0.09798709228783659,0.04582553,-1.132018220118163,-1.0191162265462352,-0.2718663351285675,-0.9376102690000001,1.491920471,-3.67890811,4.0034304368417875,-0.31932138968378737,-0.060211591358851346,4.008752028882374,2.522742748,18.51599633934167,23.439807431191674,1.512374596355843,2.0603865166214357,8.403944171853125,8.403944171853125,-0.011748359480986422,-0.8616635234022854,0.03273996474755228,0.0,0.0,0.0,-6.859946218154213,0.0,-57.09970361728206,-62.33645322721687,-3.445348773254737,6.6042235688557875,-0.16998858658791205,57.19640861099929,6.000488088566495,8.36381931744828,-2.1423839934862365,-4.705637460028302,-0.6619093187796828,1.2687821788795297,-2.0984469383840585,0.02120000000000033,0.28117603556243503,0.6150866262777281,-1.8937023514123044,32.33038805529081,-0.7839349165175371,-1.5663964574997304,0.027593662436084434,0.09582454689945712,2.4471659158419294,1.22024632789388,0.3737798541106289,-0.20420826359690186,4.257949578380773,0.15471587438541048,-0.982240404397684,-0.765513452874085,1.9684291414334152,-0.5180124729862332,-3.984625629130338,10.24600309326339,-1.1616109290440357,-0.6932481939298772,1.594791847359182,-0.19196034618080593,0.5951930399786935,0.4083850155637772,0.691196805361917
7,7,0.054294601,-0.108343929,-1.263535023,-0.133149445,0.03355652803427814,0.024483074,0.20440499159217346,-2.758514204796843,0.049522391362066744,-0.936512589,1.49055481,-3.6821010110000003,4.003680653734083,-0.31359280804887,-0.014326310742838189,3.997924440133897,2.641459942,18.35968487610834,23.596118894425004,4.949081401051762,6.984575153709122,2.89083510341696,2.89083510341696,-0.0142166636176504,-0.205019757870058,-0.11451743754626954,0.0,0.0,0.0,-6.1315803037564605,0.0,-59.409096516662544,-59.671130532128146,-3.2495017866511913,6.135716257741858,-0.4601201693601134,59.43065658143856,5.91895972673011,0.8431438258720814,-2.1451006233050767,-0.8519716169635452,-0.6276699039238407,1.1851676616462732,-0.3819916556870248,0.02399600000000035,0.28117603556243503,0.6150866262777281,-1.8937023514123044,32.33038805529081,-0.7839349165175371,-1.5663964574997304,0.027593662436084434,0.09582454689945712,2.4471659158419294,1.22024632789388,0.3737798541106289,-0.20420826359690186,4.257949578380773,0.15471587438541048,-0.982240404397684,-0.8670559067588275,1.9894187521255464,-0.5367920363418703,-4.488823982997829,10.299394234160609,-1.1972292388241081,-0.6947664147939252,1.610677171099845,-0.1928829485409087,0.5951930399786935,0.4083850155637772,0.691196805361917
8,8,0.050592225,-0.107819043,-1.2624278070000001,-0.08733817199999999,-0.04505200983193532,0.048063744000000005,1.3503676701194203,-4.368044857212055,-0.233763721094584,-0.935630202,1.48828125,-3.6773006919999998,4.001615629068231,-0.3062467618093823,-0.08090206179521708,4.01276219341651,2.664952755,19.336631521316676,22.619172249216668,8.468146307865855,9.0,1.10451327699384,1.10451327699384,-0.013857431542713489,-1.158211014451733,-0.263066847225798,0.0,0.0,0.0,-6.4097058806619165,0.0,-61.531324787821944,-61.63297663238687,-2.5835571749985786,6.281435732810715,-0.7285898821829708,61.64831423544753,5.164650186463749,-2.1304915124491406,-2.146659128628844,1.827083728589215,-0.4953531392081801,1.2043584477606675,0.8131478477507531,0.021281000000001882,0.28117603556243503,0.6150866262777281,-1.8937023514123044,32.33038805529081,-0.7839349165175371,-1.5663964574997304,0.027593662436084434,0.09582454689945712,2.4471659158419294,1.22024632789388,0.3737798541106289,-0.20420826359690186,4.257949578380773,0.15471587438541048,-0.982240404397684,-0.9839456000328446,2.003163890251686,-0.5465194221037106,-5.131853446687835,10.447674662222765,-1.2279891611909466,-0.6945454559489015,1.6314100573852843,-0.19274867482834712,0.5951930399786935,0.4083850155637772,0.691196805361917
9,9,0.049037986,-0.109205224,-1.261785388,-0.072008848,-0.09456394832753762,0.013898954,0.7619283342618195,-0.2980265403899651,-0.762817537604438,-0.935300708,1.4867439269999998,-3.674034834,4.002024816145281,-0.2981132978349417,-0.06199291019764652,4.026454502249387,2.681296587,19.02400859485,22.853639444066665,2.436379884305882,3.216749110441968,6.063124667739125,6.063124667739125,-0.014236002642760101,-0.8874627770443989,0.027944228252187772,0.0,0.0,0.0,-6.491484174075072,0.0,-53.55651521873089,-59.657026369142756,-2.1722272742201016,6.849979908693816,-0.04971082693704618,53.65063441173677,5.6611939001051175,5.4498276334852065,-2.1439278972795828,-0.0662643417902156,-0.4136598393338724,1.3044498713827613,-0.02929086582400882,0.023593999999999227,0.28117603556243503,0.6150866262777281,-1.8937023514123044,32.33038805529081,-0.7839349165175371,-1.5663964574997304,0.027593662436084434,0.09582454689945712,2.4471659158419294,1.22024632789388,0.3737798541106289,-0.20420826359690186,4.257949578380773,0.15471587438541048,-0.982240404397684,-1.095022596849029,2.018889608152447,-0.5551279770322455,-5.750226936685874,10.6016747420546,-1.2558587454667864,-0.6947783099696354,1.6535383929860883,-0.1928901770788929,0.5951930399786935,0.4083850155637772,0.691196805361917
