,index,phi,theta,psi,d_phi,d_theta,d_psi,dd_phi,dd_theta,dd_psi,position_x,position_y,position_z,u,v,w,Va,pitot_Va,Tm_up,Tm_down,Tr_r,Tr_l,Tf_up,Tf_down,alpha,alpha_deg,d_alpha,delta_e,delta_a,tilt,F_x,T_x,F_z,T_z,L,D,M,L_total,D_total,Mt,Mg,Ma,CL_log,CD_log,Cm_log,Time_DIFF,CL_0,CL_alpha,CL_d_alpha,CL_q,CL_delta_e,k_L,CD_0,kappa,k_D,Cm_0,Cm_alpha,Cm_d_alpha,Cm_q,Cm_delta_e,k_m,CL,CD,Cm,L_calc,D_calc,Ma_calc,CL_kawano,CD_kawano,Cm_kawano,CL_RMSE,CD_RMSE,Cm_RMSE
10,10,0.047511514000000005,-0.111180283,-1.261434674,-0.053146637999999996,-0.09740677828581522,0.013832307,0.6947582233869777,1.1475965344298291,-0.6304257861919634,-0.933161855,1.4851970669999999,-3.6765310760000003,3.998727647981417,-0.2950728707842989,-0.07582735598436274,4.018378097533722,2.730085373,19.02400859485,22.853639444066665,2.436379884305882,3.216749110441968,6.063124667739125,6.063124667739125,-0.017939485075995958,-1.0863622649172795,-0.04915742977062304,0.0,0.0,0.0,-7.356830642744286,0.0,-55.50138984209438,-59.657026369142756,-2.613294170049995,7.41956135583295,0.1914191019428955,55.63089520059696,6.303231765559396,5.4498276334852065,-2.139943191998002,-4.802034104306074,-0.49965517785329566,1.4186012012460232,-2.131186994300207,0.020669999999999078,0.28117603556243503,0.6150866262777281,-1.8937023514123044,32.33038805529081,-0.7839349165175371,-1.5663964574997304,0.027593662436084434,0.09582454689945712,2.4471659158419294,1.22024632789388,0.3737798541106289,-0.20420826359690186,4.257949578380773,0.15471587438541048,-0.982240404397684,-1.0971490259597783,2.0231075984060922,-0.5598747041382592,-5.7383036948304245,10.581247881815813,-1.2615211291175306,-0.6970562724849734,1.653985078877121,-0.19427446420248917,0.5951930399786935,0.4083850155637772,0.691196805361917
11,11,0.046507034,-0.112146541,-1.261299849,-0.04125607,-0.0657319002475547,-0.014006213,1.0561391143578656,0.851425865800867,-0.2533201884920638,-0.932287812,1.4839839940000001,-3.6739809510000003,3.993906692244089,-0.2933099721505301,-0.07055990873553958,3.99840318210627,2.743588448,18.633229936766668,22.697327980833332,1.5293682390766885,1.2949763700859978,9.0,9.0,-0.022973641432739222,-1.0121329198773594,-0.2543992107476102,0.0,0.0,0.0,-7.827446185681868,0.0,-60.965411377547326,-62.15490252676269,-3.7785990845061166,7.732177772435296,0.1420178344155846,61.0941644248351,6.749323777574724,9.14737452425909,-2.1380169048743127,-7.0622947634804705,-0.7296949403419368,1.493180639752333,-3.165706035982072,0.02368200000000087,0.28117603556243503,0.6150866262777281,-1.8937023514123044,32.33038805529081,-0.7839349165175371,-1.5663964574997304,0.027593662436084434,0.09582454689945712,2.4471659158419294,1.22024632789388,0.3737798541106289,-0.20420826359690186,4.257949578380773,0.15471587438541048,-0.982240404397684,-1.030968526112007,2.0190044716547244,-0.5610921247908949,-5.338692258296261,10.455065571145834,-1.2517264489188689,-0.7001527147345972,1.6404891608715626,-0.1961561304310826,0.5951930399786935,0.4083850155637772,0.691196805361917
12,12,0.045801669,-0.11260768800000001,-1.261383295,-0.006304756,-0.022005012895154972,0.00259705,0.36115678495006753,2.4555282186162373,-0.1396458184736077,-0.930307269,1.4826259609999999,-3.6705672739999997,3.986794397177683,-0.28690833477542294,-0.12061223849378272,3.988970556663469,2.748038292,18.47691847353334,22.697327980833332,2.483795424418558,1.6309006710242353,7.69568991953436,7.69568991953436,-0.02525453100356956,-1.7328370651410858,0.004103512300332806,0.0,0.0,0.0,-7.750610404325856,0.0,-55.97361808504222,-60.68032238887818,-4.946305518755017,7.797493975590448,0.40958210686518837,56.18239249950633,6.054474064790842,7.498770095284842,-2.1371203928723594,-3.6834921406497374,-0.9597165082194817,1.5129238707033352,-1.658960322952932,0.02118199999999959,0.28117603556243503,0.6150866262777281,-1.8937023514123044,32.33038805529081,-0.7839349165175371,-1.5663964574997304,0.027593662436084434,0.09582454689945712,2.4471659158419294,1.22024632789388,0.3737798541106289,-0.20420826359690186,4.257949578380773,0.15471587438541048,-0.982240404397684,-0.9855349957641508,2.014693522865668,-0.5589331209348851,-5.0793720298907195,10.383576405535203,-1.241033754470867,-0.7015556594056311,1.6317100154362196,-0.1970086810021101,0.5951930399786935,0.4083850155637772,0.691196805361917
13,13,0.045597143,-0.11180472400000001,-1.261413574,-0.025053132000000002,0.0180897418352259,-0.020271283,-0.6325349183414504,0.9800843951136478,-0.23333983536933064,-0.9279199840000001,1.4818954469999999,-3.6695320610000004,3.983951873359934,-0.28305676293929305,-0.06965036606106673,3.9944776379035436,2.775216818,19.06308646065833,22.033004262091676,9.0,9.0,1.1258096805653577,1.1258096805653577,-0.023363431434174093,-1.001584768253145,0.05924166091475574,0.0,0.0,0.0,-7.346334787208704,0.0,-55.58664109711879,-61.34771008388072,-5.420241010138955,7.696419424543801,0.16347807710495646,55.706562513123515,6.373554442939261,-2.208628783711675,-2.1388361514012653,2.5673218933112416,-1.0487749316682193,1.4891979417459427,1.1530768393572834,0.024495999999999185,0.28117603556243503,0.6150866262777281,-1.8937023514123044,32.33038805529081,-0.7839349165175371,-1.5663964574997304,0.027593662436084434,0.09582454689945712,2.4471659158419294,1.22024632789388,0.3737798541106289,-0.20420826359690186,4.257949578380773,0.15471587438541048,-0.982240404397684,-0.9183747549317112,1.9998294760990873,-0.5471872843732604,-4.7463114907211645,10.335447017593356,-1.2183107378134697,-0.7003924693515364,1.6194572145159085,-0.1963018260809528,0.5951930399786935,0.4083850155637772,0.691196805361917
14,14,0.04472306400000001,-0.11047753699999999,-1.261623263,-0.035197686,0.044717409626861736,-0.008061447,-0.9569822056286797,0.8010640597366717,0.08992639898692005,-0.926226735,1.481077194,-3.668484926,3.9778890913394878,-0.2820576009576715,-0.10956950122966075,3.998869906208304,2.822166681,19.219397923891663,21.87669279885833,9.0,9.0,1.0407806470985017,1.0407806470985017,-0.019653396256349456,-1.577792360299748,0.1461880907647116,0.0,0.0,0.0,-7.446329660319185,0.0,-53.98806543961715,-61.17765201694699,-4.996964652555897,7.423092909202695,0.13361748516407684,54.17262519317003,5.956988752956795,-2.300120023722012,-2.1417254547427587,5.599375111337692,-0.9647513941125357,1.4331578729733812,2.509359731311199,0.021305000000001684,0.28117603556243503,0.6150866262777281,-1.8937023514123044,32.33038805529081,-0.7839349165175371,-1.5663964574997304,0.027593662436084434,0.09582454689945712,2.4471659158419294,1.22024632789388,0.3737798541106289,-0.20420826359690186,4.257949578380773,0.15471587438541048,-0.982240404397684,-0.8772874182093475,1.9906821502991077,-0.5387178988349273,-4.543941833799285,10.310810018231777,-1.2020929311686392,-0.6981104763306367,1.6123873775367077,-0.19491508967344018,0.5951930399786935,0.4083850155637772,0.691196805361917
15,15,0.043753538,-0.10897523199999999,-1.261552095,-0.068883874,0.045440505429268814,-0.016152563999999998,-0.7271448460508473,-0.38220169567156315,0.1359925479696521,-0.9249993559999999,1.4805107119999998,-3.670769453,3.975689136290287,-0.2796218171651538,-0.04288102533925947,3.9903768188789437,2.964818239,19.29755365550834,21.798537067241664,4.840664685113565,5.922836993404485,3.263735226177122,3.263735226177122,-0.017108783233627335,-0.6179573960846049,0.15601459130536535,0.0,0.0,0.0,-6.796663294501811,0.0,-54.32039441004377,-58.3870628536223,-4.021971511873172,6.973869880160353,-0.06375124283801674,54.39053829116998,6.21041264315945,1.466713784448154,-2.144987266660676,2.452216886357182,-0.7798208829696863,1.3521650642248109,1.10364391735801,0.02351499999999973,0.28117603556243503,0.6150866262777281,-1.8937023514123044,32.33038805529081,-0.7839349165175371,-1.5663964574997304,0.027593662436084434,0.09582454689945712,2.4471659158419294,1.22024632789388,0.3737798541106289,-0.20420826359690186,4.257949578380773,0.15471587438541048,-0.982240404397684,-0.8779047333381212,1.994807230864005,-0.5414370230116361,-4.527844668865829,10.288334192411615,-1.203033867940395,-0.6965453188913081,1.6124912040723323,-0.1939639645890392,0.5951930399786935,0.4083850155637772,0.691196805361917
16,16,0.041655462000000004,-0.106588595,-1.261477947,-0.067788318,0.008538804484663872,-0.001966261,-0.06925451006134203,-3.2678805088390597,-0.020589284501686508,-0.921824098,1.480056763,-3.6714055539999997,3.9722650864035405,-0.27618820536587985,-0.0816220585386947,3.977252819841523,3.037916899,19.29755365550834,21.798537067241664,4.840664685113565,5.922836993404485,3.263735226177122,3.263735226177122,-0.016406621313677896,-1.1771473831805874,-0.046011531785337074,0.0,0.0,0.0,-6.593540554415023,0.0,-58.33081072146713,-58.3870628536223,-3.1963001966716473,6.507316109551809,-0.5450824688743552,58.45395581122753,5.393821139544741,1.466713784448154,-2.150209669252833,-3.433516898234472,-0.6238279850264659,1.2700452544410956,-1.5555024711137098,0.020664000000000016,0.28117603556243503,0.6150866262777281,-1.8937023514123044,32.33038805529081,-0.7839349165175371,-1.5663964574997304,0.027593662436084434,0.09582454689945712,2.4471659158419294,1.22024632789388,0.3737798541106289,-0.20420826359690186,4.257949578380773,0.15471587438541048,-0.982240404397684,-0.9251571975515716,2.0092190406015358,-0.5532420491749452,-4.740217180799968,10.294612246929981,-1.221191197013007,-0.6961134284848658,1.6206553710816205,-0.1937015106090385,0.5951930399786935,0.4083850155637772,0.691196805361917
17,17,0.040356759,-0.10640166,-1.261594057,-0.07194346900000001,-0.06143773521970348,-0.017062178,-0.23173146693636704,-2.45089993759547,-0.34342639495599125,-0.920469165,1.4799232480000002,-3.6691176889999997,3.972790298251133,-0.27291409699285846,-0.050926550210405486,3.9745521056513193,3.086734295,18.82861926580833,22.150237859516672,1.0524492857339989,1.000311514142886,9.0,9.0,-0.016384050149854477,-0.7344250173326672,0.0520961589318522,0.0,0.0,0.0,-6.06280066471848,0.0,-54.39027951583865,-61.03161792520189,-3.2296441260667543,6.289262533830576,-0.4088101095909244,54.46352295834715,5.365139763022091,9.293975448023392,-2.1507268244837543,-5.876201560274107,-0.6311927023912158,1.2291560493418572,-2.665742570469672,0.025807000000000357,0.28117603556243503,0.6150866262777281,-1.8937023514123044,32.33038805529081,-0.7839349165175371,-1.5663964574997304,0.027593662436084434,0.09582454689945712,2.4471659158419294,1.22024632789388,0.3737798541106289,-0.20420826359690186,4.257949578380773,0.15471587438541048,-0.982240404397684,-1.0586365022965687,2.035883726462091,-0.5716683865745895,-5.416759649357995,10.417072145501239,-1.2601511872757942,-0.6960995452638584,1.6460292706730826,-0.1936930739627174,0.5951930399786935,0.4083850155637772,0.691196805361917
18,18,0.038178383999999996,-0.10733243099999999,-1.262010336,-0.078557111,-0.13649786560807212,-0.017925629,-0.39515939075630896,-2.7770562184874414,-0.22665147058823906,-0.9177170990000001,1.4799766540000001,-3.6664006710000003,3.971756467362222,-0.2708428635874863,-0.07199254138888789,3.9826609174871255,3.114828587,18.82861926580833,21.87669279885833,2.280925683438506,3.0674470643801572,6.331476167418496,6.331476167418496,-0.01631890331070367,-1.0384365583344575,-0.0678236402866032,0.0,0.0,0.0,-6.6077425053449605,0.0,-56.30155607029297,-58.71663714732232,-4.324257548419249,6.436969291292141,-0.46321297724370525,56.41206230771521,5.586296012900027,5.7964775340567565,-2.1489749350230833,-2.6400226738029553,-0.8416830402765959,1.2529059202873767,-1.192776036504589,0.02179299999999884,0.28117603556243503,0.6150866262777281,-1.8937023514123044,32.33038805529081,-0.7839349165175371,-1.5663964574997304,0.027593662436084434,0.09582454689945712,2.4471659158419294,1.22024632789388,0.3737798541106289,-0.20420826359690186,4.257949578380773,0.15471587438541048,-0.982240404397684,-1.1748576190840951,2.056887500190563,-0.5839695422987112,-6.035985857541736,10.567530618206712,-1.2925249881753473,-0.6960594743143524,1.6709033280889403,-0.19366872338668384,0.5951930399786935,0.4083850155637772,0.691196805361917
19,19,0.036497373,-0.108899169,-1.262387276,-0.090753056,-0.18154492675906497,-0.027850787999999998,-0.2125821656332027,-1.0444073967826475,0.028467087406491544,-0.91703856,1.480066299,-3.661823988,3.9695866220440723,-0.26528877376614163,-0.06370359807674925,3.987477099503508,3.1089267730000003,18.984930729041665,21.564069872391666,9.0,9.0,1.371903723011886,1.371903723011886,-0.01669197215308015,-0.9193990142993294,-0.05291267145928689,0.0,0.0,0.0,-6.533000434629331,0.0,-54.426969685891414,-61.29280804745711,-5.802690946132441,6.772632079983053,-0.17420715378334561,54.52479015030154,5.658832294156666,-1.9438315940392106,-2.145830988214279,2.202914351723727,-1.1267218732266973,1.3150575784015845,0.9928853932313625,0.023524000000001877,0.28117603556243503,0.6150866262777281,-1.8937023514123044,32.33038805529081,-0.7839349165175371,-1.5663964574997304,0.027593662436084434,0.09582454689945712,2.4471659158419294,1.22024632789388,0.3737798541106289,-0.20420826359690186,4.257949578380773,0.15471587438541048,-0.982240404397684,-1.2535406208011401,2.0729057657926546,-0.5924632097147273,-6.455815746348346,10.675599546943955,-1.3144978427986116,-0.6962889439699792,1.689212875258698,-0.19380816900416042,0.5951930399786935,0.4083850155637772,0.691196805361917
20,20,0.034198642,-0.112720549,-1.2631983759999998,-0.088190697,-0.18186126115557222,-0.016635586,-0.21393743320270747,0.6871136667260408,0.031954110260064,-0.913179517,1.4804992680000002,-3.6588389869999998,3.9688147413678965,-0.2597237981354182,-0.08145937482851806,3.9804582632348597,3.108965158,18.984930729041665,21.016979751075006,8.318772451628766,9.0,1.6001143457697613,1.6001143457697613,-0.01792966779995013,-1.1758228726806248,0.0014555467351650233,0.0,0.0,0.0,-6.8519376896823045,0.0,-53.09757253716937,-60.52091162328496,-6.464286532285523,6.987035888700272,0.1146105596099036,53.226997325616956,5.76090402124676,-1.5688437297612023,-2.1379717644879417,2.8422426701788353,-1.259615911882977,1.36147764155383,1.2855616820625628,0.021387999999998186,0.28117603556243503,0.6150866262777281,-1.8937023514123044,32.33038805529081,-0.7839349165175371,-1.5663964574997304,0.027593662436084434,0.09582454689945712,2.4471659158419294,1.22024632789388,0.3737798541106289,-0.20420826359690186,4.257949578380773,0.15471587438541048,-0.982240404397684,-1.263115055882364,2.0785557459035915,-0.5967849332215667,-6.482243966148002,10.667045238229385,-1.319429184759737,-0.6970502340097711,1.6915218210328458,-0.19427079470248088,0.5951930399786935,0.4083850155637772,0.691196805361917
