,index,id,phi,theta,psi,d_phi,d_theta,d_psi,dd_phi,dd_theta,dd_psi,position_x,position_y,position_z,u,v,w,Va,Tm_up,Tm_down,Tr_r,Tr_l,Tf_up,Tf_down,alpha,alpha_deg,d_alpha,delta_e,delta_a,tilt,RHO,F_x,T_x,F_z,T_z,L,D,Mt,Mg,Ma,CL_log,CD_log,Cm_log,CL_0,CL_alpha,CL_q,CL_delta_e,CL_k,k_L,CD_0,CD_alpha,CD_q,CD_delta_e,CD_k,k_D,Cm_0,Cm_alpha,Cm_q,Cm_delta_e,Cm_k,k_m,CL,CD,Cm,L_calc,D_calc,Ma_calc,CL_RMSE,CD_RMSE,Cm_RMSE
0,1,400,-0.013596925,-0.181974992,-1.016875386,-0.142198339,-0.13126020075382613,-0.032449186,0.04023934314643165,2.6204796009530194,0.08333434016846987,0.390105486,2.136339903,-3.107411861,5.051348296954955,0.08201465797549773,0.16279078551408144,5.0567294762774155,17.496076644437892,17.641024770436367,1.9234687987532215,2.5086390264987566,7.5641831157858155,7.5641831157858155,0.031786141270051436,1.8458433977407744,-0.03216530784407638,0.1745329278174269,0.0,0.0,1.264,-6.986103728458892,0.0,-55.076641989437135,-54.69757547169787,-0.08615342493976352,8.36099019223643,7.296960545787662,-2.3556066044531825,-3.2914532453183227,-0.009916462360447334,0.9623696863514323,-0.8793993402819932,-0.7962295309286065,0.9042940091686864,2.6415258555490273,0.3964307042093493,4.521613675761445,1.536277931640471,-0.11564763106255363,-0.8554218636455017,-2.598897981606119,0.040701245543244446,6.785526539856418,2.305472210866544,0.4833060908946559,-0.0850476381467724,0.7050305076562483,0.760376227136164,-2.4635925748509537,-0.3606043824512172,0.1811124099306286,1.220677419010386,0.12218045122403931,1.57349000555418,10.605146933632037,0.4573021882946434,0.46014934691849607,0.23346725920376102,0.5591338583699718
1,2,400,-0.016620286,-0.18429152699999998,-1.017613649,-0.102006339,-0.06748035761956048,-0.020418389,0.9128803581232485,2.9067463997635574,0.0025463068541745873,0.39378249600000004,2.13512969,-3.08347702,5.0681854074782215,0.07055037724339924,0.14546243197032316,5.091712681291673,17.16994336094133,17.967158053932945,3.2993939525045084,2.5870847341841614,6.14670003673833,6.14670003673833,0.03795632002014529,1.6439998541192282,-0.017063164793377866,0.174532927817427,0.0,0.0,1.264,-7.199482406364823,0.0,-54.15065352843324,-53.3169801750396,1.31014796795098,7.289646927619468,5.495418289059597,-2.350059812508045,-5.399366524999911,0.14873604574050997,0.8275655005245518,-1.4228296858645961,-0.7962295309286065,0.9042940091686864,2.6415258555490273,0.3964307042093493,4.521613675761445,1.536277931640471,-0.11564763106255363,-0.8554218636455017,-2.598897981606119,0.040701245543244446,6.785526539856418,2.305472210866544,0.4833060908946559,-0.0850476381467724,0.7050305076562483,0.760376227136164,-2.4635925748509537,-0.3606043824512172,0.18777737725061927,1.199067561338293,0.1269323970938906,1.6540452450999783,10.56203908811752,0.4816841696624333,0.46014934691849607,0.23346725920376102,0.5591338583699718
2,3,400,-0.018315541,-0.183617979,-1.017970681,-0.098966151,-0.010452830764364452,-0.032328598,0.5515206920415197,0.4897344867358684,0.1437130795847743,0.396276355,2.13363409,-3.075423717,5.078728071494852,0.06935975506018871,0.16399240740409415,5.089477032058084,17.16994336094133,17.967158053932945,3.2993939525045084,2.5870847341841614,6.14670003673833,6.14670003673833,0.03273589511437386,1.8494412632297508,-0.0034985873761471014,0.1745329278174269,0.0,0.0,1.264,-7.342343351767823,0.0,-56.04694352543167,-53.3169801750396,2.130393365367977,6.8859516420409905,5.495418289059597,-2.351558313874767,-1.4572929258200429,0.2420678678875726,0.7824224668845975,-0.3843602127744882,-0.7962295309286065,0.9042940091686864,2.6415258555490273,0.3964307042093493,4.521613675761445,1.536277931640471,-0.11564763106255363,-0.8554218636455017,-2.598897981606119,0.040701245543244446,6.785526539856418,2.305472210866544,0.4833060908946559,-0.0850476381467724,0.7050305076562483,0.760376227136164,-2.4635925748509537,-0.3606043824512172,0.18981896566457712,1.1978491554838393,0.12886462924858016,1.670560692758461,10.542043088261595,0.4885872844038638,0.46014934691849607,0.23346725920376102,0.5591338583699718
3,4,400,-0.020878498,-0.18214222800000002,-1.018509388,-0.078097917,-0.016935398000373175,-0.014188427,0.9280233722871583,-2.535485577814913,0.5741592932665635,0.40023636799999995,2.131380081,-3.055993557,5.09156844453552,0.055454724263537966,0.1507972792020137,5.084730989966952,16.952521171943616,18.148343211431037,9.0,6.814681558688071,1.9692264653306228,1.9692264653306228,0.027079293959281575,1.6964365340920085,-0.015558209308829205,0.17453292781742688,0.0,0.0,1.264,-6.987313833874736,0.0,-57.60211153682095,-54.85399887272397,1.8653218475427846,6.995958571074962,-0.885901819454983,-2.3548772399913687,3.345017058007252,0.21234472456267786,0.7964067422379474,0.883894151347413,-0.7962295309286065,0.9042940091686864,2.6415258555490273,0.3964307042093493,4.521613675761445,1.536277931640471,-0.11564763106255363,-0.8554218636455017,-2.598897981606119,0.040701245543244446,6.785526539856418,2.305472210866544,0.4833060908946559,-0.0850476381467724,0.7050305076562483,0.760376227136164,-2.4635925748509537,-0.3606043824512172,0.18480647105112158,1.2046471628075515,0.12869998838585006,1.6234147032797515,10.58210735394131,0.4870534055008075,0.46014934691849607,0.23346725920376102,0.5591338583699718
4,5,400,-0.022491692999999997,-0.182118267,-1.018657804,-0.05894235900000001,-0.08676984210440966,-0.0075662559999999995,0.8409122679686885,-2.7265985308348957,0.5750008797396019,0.40296065799999997,2.130198479,-3.035094738,5.106123895481946,0.05024857367383222,0.15425494209188284,5.098896429514455,16.771336014445527,18.329528368929125,9.0,9.0,1.3505063643221893,1.3505063643221893,0.026840788636520025,1.7303673280754948,-0.05422916658311752,0.17453292781742688,0.0,0.0,1.264,-6.9477151631714165,0.0,-55.90460004969282,-55.801877112019035,0.6626036621357184,7.22147594500914,-1.9668551519893243,-2.354839017014376,2.5204239532931827,0.07501102715676143,0.8175178604914317,0.6623066312173376,-0.7962295309286065,0.9042940091686864,2.6415258555490273,0.3964307042093493,4.521613675761445,1.536277931640471,-0.11564763106255363,-0.8554218636455017,-2.598897981606119,0.040701245543244446,6.785526539856418,2.305472210866544,0.4833060908946559,-0.0850476381467724,0.7050305076562483,0.760376227136164,-2.4635925748509537,-0.3606043824512172,0.17433259814366875,1.20880583577576,0.12798773749526754,1.5399524888284002,10.677885691688584,0.48706044014379773,0.46014934691849607,0.23346725920376102,0.5591338583699718
5,6,400,-0.02384829,-0.18354080600000003,-1.018618464,-0.039863317999999995,-0.16873097382510438,0.011955713,1.4803816130103002,-2.1907463214957574,0.4773158092709407,0.40769243200000005,2.127488613,-3.0161838530000002,5.120530911280439,0.0400912847536872,0.13881560894509237,5.124901982738447,17.09746929794209,18.00339508543256,1.8497329030926428,1.724967969104177,8.685710249021309,8.685710249021309,0.029065202019741398,1.5528860352361722,-0.09334400677411442,0.1745329278174269,0.0,0.0,1.264,-7.3130442999466,0.0,-54.95127255690105,-56.046985753614095,-0.9724607072614586,7.266913655437481,8.666631062229534,-2.3514248529416446,-3.9773199489233515,-0.10897442769440037,0.814333937394766,-1.0345638218347561,-0.7962295309286065,0.9042940091686864,2.6415258555490273,0.3964307042093493,4.521613675761445,1.536277931640471,-0.11564763106255363,-0.8554218636455017,-2.598897981606119,0.040701245543244446,6.785526539856418,2.305472210866544,0.4833060908946559,-0.0850476381467724,0.7050305076562483,0.760376227136164,-2.4635925748509537,-0.3606043824512172,0.16279358376362763,1.2090547957861313,0.127834635534754,1.4527294793266399,10.7893044882534,0.4914527604242211,0.46014934691849607,0.23346725920376102,0.5591338583699718
6,7,400,-0.024460127999999998,-0.18579925600000002,-1.018205166,0.007963488000000001,-0.20891746681393053,0.014006032,1.8467235249452494,-0.3758704721068306,0.31141779445262685,0.41013848799999997,2.1255507469999997,-3.00306797,5.133963663005483,0.034995467196799884,0.13777869203349247,5.144663394333573,16.481439762448566,18.619424620926072,1.9010163767966934,1.0691646440359726,9.0,9.0,0.028307774464922688,1.5372612184249654,-0.0996629494395189,0.1745329278174269,0.0,0.0,1.264,-7.137737065232996,0.0,-53.777543430745865,-56.07104540420731,-2.5410623028024695,7.088885277037202,9.119665606041794,-2.346089363673365,-9.365249147512554,-0.2825693451523109,0.7882930176025568,-2.4173709105218015,-0.7962295309286065,0.9042940091686864,2.6415258555490273,0.3964307042093493,4.521613675761445,1.536277931640471,-0.11564763106255363,-0.8554218636455017,-2.598897981606119,0.040701245543244446,6.785526539856418,2.305472210866544,0.4833060908946559,-0.0850476381467724,0.7050305076562483,0.760376227136164,-2.4635925748509537,-0.3606043824512172,0.15434701444950838,1.2089190081813468,0.12857845863705236,1.387996917203976,10.871450040609076,0.4981317905737548,0.46014934691849607,0.23346725920376102,0.5591338583699718
7,8,400,-0.024457492,-0.18909479699999998,-1.017660022,0.042829268,-0.18904592889264316,0.025900378999999998,1.3523474392935682,0.5933379028697437,0.3401073951434803,0.414572358,2.12249732,-2.9778223039999996,5.14998206390834,0.027010647243847347,0.12166929328342013,5.153421306955167,16.155306478952,18.94555790442264,3.634506085751367,1.0740928846564088,8.445644094967832,8.445644094967832,0.024107060878372725,1.3533717924234465,-0.06244838025888404,0.17453292781742688,0.0,0.0,1.264,-7.048976874870878,0.0,-55.18777718824351,-56.700751543718084,-3.537964832516324,6.829713859997997,8.19287924180791,-2.338340595925106,-7.700624277657513,-0.3920900991850532,0.756893669535872,-1.9809454791171701,-0.7962295309286065,0.9042940091686864,2.6415258555490273,0.3964307042093493,4.521613675761445,1.536277931640471,-0.11564763106255363,-0.8554218636455017,-2.598897981606119,0.040701245543244446,6.785526539856418,2.305472210866544,0.4833060908946559,-0.0850476381467724,0.7050305076562483,0.760376227136164,-2.4635925748509537,-0.3606043824512172,0.15128802704632172,1.2080736506401275,0.13034559641892102,1.3651242925622664,10.900867172973786,0.5066986824476463,0.46014934691849607,0.23346725920376102,0.5591338583699718
8,9,400,-0.023647407000000002,-0.191606268,-1.017177701,0.069224827,-0.12471254506027558,0.029412897,0.32169097487086795,4.07676209053463,0.2516560599786419,0.41614198700000005,2.117532969,-2.960202694,5.165179299889906,0.022112299289670036,0.10798945015737227,5.1623205249835475,16.155306478952,18.94555790442264,3.634506085751367,1.0740928846564088,8.445644094967832,8.445644094967832,0.020913771588084464,1.1977199792691207,-0.0032069210424376347,0.17453292781742688,0.0,0.0,1.264,-6.559377761869168,0.0,-51.317536118293454,-56.700751543718084,-3.4475353489837266,6.66949058033065,8.19287924180791,-2.3324706239258255,-0.7760013511572116,-0.3807522315318304,0.7365909742999431,-0.19893464868476513,-0.7962295309286065,0.9042940091686864,2.6415258555490273,0.3964307042093493,4.521613675761445,1.536277931640471,-0.11564763106255363,-0.8554218636455017,-2.598897981606119,0.040701245543244446,6.785526539856418,2.305472210866544,0.4833060908946559,-0.0850476381467724,0.7050305076562483,0.760376227136164,-2.4635925748509537,-0.3606043824512172,0.15401471625973284,1.2015235394583845,0.1333434661029756,1.3945320200302993,10.879239914769965,0.5201442310226335,0.46014934691849607,0.23346725920376102,0.5591338583699718
9,10,400,-0.022410724,-0.19249765600000002,-1.016388535,0.057589415,-0.040338652129032766,0.037447114,-0.34859776203403614,3.777064843629334,-0.18915879847271128,0.41800332100000004,2.109548092,-2.9411144260000004,5.188089054208109,0.01178576211118827,0.1345198052900355,5.1809400668579695,16.19154351045162,18.94555790442264,9.0,8.66372812307524,1.641224545181607,1.641224545181607,0.0219944620724449,1.4852656748158053,0.0474091883068312,0.17453292781742688,0.0,0.0,1.264,-6.862811994551224,0.0,-54.14901359648261,-56.08327862831271,-2.1918221232523014,6.694780878991771,-1.590150732768886,-2.3304416558994934,3.878758966182086,-0.24033212754243866,0.734079154968599,0.9872190831422321,-0.7962295309286065,0.9042940091686864,2.6415258555490273,0.3964307042093493,4.521613675761445,1.536277931640471,-0.11564763106255363,-0.8554218636455017,-2.598897981606119,0.040701245543244446,6.785526539856418,2.305472210866544,0.4833060908946559,-0.0850476381467724,0.7050305076562483,0.760376227136164,-2.4635925748509537,-0.3606043824512172,0.16115994761116859,1.1867097635250374,0.13745304366699013,1.4697741087236285,10.822759071670019,0.5400495540011186,0.46014934691849607,0.23346725920376102,0.5591338583699718
